上线机场,下线机场,出发日期,出发时刻,出发类型,出发航班,到达日期,到达时刻,到达类型,到达航班,区域,机体类别,登机口,终端厅,飞机型号,飞机转场记录号,精确到达时间,精确出发时间
DBO,IOZ,2018/1/20,11:10:00,D,GN0530,2018/1/20,9:50:00,D,GN0413,South,W,T24,T,738,PK497,2018/1/20 9:50,2018/1/20 11:10
UTO,TIF,2018/1/20,11:05:00,D,GN0298,2018/1/20,9:50:00,D,GN0181,South,W,T24,T,738,PK496,2018/1/20 9:50,2018/1/20 11:05
LXM,DHR,2018/1/20,10:50:00,D,GN0493,2018/1/20,9:45:00,D,GN0493,South,W,T24,T,738,PK494,2018/1/20 9:45,2018/1/20 10:50
DLH,DLH,2018/1/20,11:05:00,D,NV6536,2018/1/20,9:40:00,D,NV6533,South,W,T24,T,320,PK493,2018/1/20 9:40,2018/1/20 11:05
ZOU,UBP,2018/1/20,11:15:00,D,NV6622,2018/1/20,9:35:00,D,NV6655,South,W,T24,T,320,PK491,2018/1/20 9:35,2018/1/20 11:15
UZO,UZO,2018/1/20,10:45:00,D,NV3512,2018/1/20,9:35:00,D,NV3513,South,W,T24,T,73H,PK490,2018/1/20 9:35,2018/1/20 10:45
DHP,KOH,2018/1/20,11:00:00,D,GN0284,2018/1/20,9:30:00,D,GN0439,South,W,T24,T,738,PK489,2018/1/20 9:30,2018/1/20 11:00
EMD,GPD,2018/1/20,10:40:00,D,NV6773,2018/1/20,9:25:00,D,NV6773,South,W,T24,T,325,PK488,2018/1/20 9:25,2018/1/20 10:40
YNO,EMD,2018/1/20,10:35:00,D,GN0202,2018/1/20,9:20:00,D,GN0369,South,W,T24,T,738,PK486,2018/1/20 9:20,2018/1/20 10:35
XOA,***,2018/1/20,10:00:00,D,*****,2018/1/20,9:10:00,D,GN0631,South,W,T24,T,738,PK484,2018/1/20 9:10,2018/1/20 10:00
UBP,LPX,2018/1/20,10:05:00,D,NV6684,2018/1/20,8:55:00,D,NV6684,South,W,T24,T,320,PK482,2018/1/20 8:55,2018/1/20 10:05
IGF,IGF,2018/1/20,21:35:00,D,NV6578,2018/1/20,8:45:00,D,NV6698,South,W,T24,T,320,PK480,2018/1/20 8:45,2018/1/20 21:35
UOB,UOB,2018/1/20,10:20:00,D,NV6644,2018/1/20,8:45:00,D,NV6645,South,W,T24,T,320,PK479,2018/1/20 8:45,2018/1/20 10:20
XOA,XOA,2018/1/20,9:45:00,D,NV6612,2018/1/20,8:40:00,D,NV6697,South,W,T24,T,73H,PK478,2018/1/20 8:40,2018/1/20 9:45
LIO,TIF,2018/1/20,9:50:00,D,NV6577,2018/1/20,8:40:00,D,NV6577,South,W,T24,T,320,PK477,2018/1/20 8:40,2018/1/20 9:50
***,DTY,2018/1/20,9:25:00,D,GN0408,2018/1/20,8:35:00,D,*****,South,W,T24,T,738,PK476,2018/1/20 8:35,2018/1/20 9:25
OHC,VSD,2018/1/20,9:30:00,D,NV6700,2018/1/20,7:55:00,D,NV6700,South,W,T24,T,320,PK473,2018/1/20 7:55,2018/1/20 9:30
EZH,XOA,2018/1/20,9:15:00,D,GN0630,2018/1/20,1:35:00,D,GN0453,South,W,T24,T,738,PK448,2018/1/20 1:35,2018/1/20 9:15
EZH,XVI,2018/1/20,6:55:00,D,NV3615,2018/1/20,1:30:00,D,NV6487,South,W,T24,T,319,PK447,2018/1/20 1:30,2018/1/20 6:55
XVU,EZH,2018/1/20,8:10:00,D,GN0454,2018/1/20,0:05:00,D,GN0657,South,W,T24,T,738,PK446,2018/1/20 0:05,2018/1/20 8:10
EMD,DHR,2018/1/20,7:50:00,D,NV6708,2018/1/20,0:15:00,D,NV6723,South,W,T24,T,323,PK443,2018/1/20 0:15,2018/1/20 7:50
DHP,DHP,2018/1/20,8:30:00,D,GN0678,2018/1/20,0:15:00,D,GN0401,South,W,T24,T,738,PK442,2018/1/20 0:15,2018/1/20 8:30
TZY,LXM,2018/1/20,15:50:00,D,GN0488,2018/1/20,0:10:00,D,GN0349,South,W,T24,T,73E,PK441,2018/1/20 0:10,2018/1/20 15:50
ETO,CBW,2018/1/21,9:25:00,D,GN0548,2018/1/20,23:55:00,D,GN0405,South,W,T24,T,73E,PK440,2018/1/20 23:55,2018/1/21 9:25
CBW,XYO,2018/1/21,9:05:00,D,GN0572,2018/1/20,23:50:00,D,GN0247,South,W,T24,T,73A,PK439,2018/1/20 23:50,2018/1/21 9:05
IBL,TIF,2018/1/21,9:00:00,D,GN0478,2018/1/20,23:40:00,D,GN0643,South,W,T24,T,73E,PK438,2018/1/20 23:40,2018/1/21 9:00
UTO,DUV,2018/1/21,9:05:00,D,NV6514,2018/1/20,23:30:00,D,NV3195,South,W,T24,T,319,PK437,2018/1/20 23:30,2018/1/21 9:05
MGR,DHP,2018/1/21,8:50:00,D,GN0456,2018/1/20,23:25:00,D,GN0447,South,W,T24,T,738,PK435,2018/1/20 23:25,2018/1/21 8:50
IBL,DBO,2018/1/21,9:00:00,D,GN0414,2018/1/20,23:15:00,D,GN0363,South,W,T24,T,73E,PK433,2018/1/20 23:15,2018/1/21 9:00
KOH,XOA,2018/1/21,10:25:00,D,GN0628,2018/1/20,23:10:00,D,GN0285,South,W,T24,T,738,PK431,2018/1/20 23:10,2018/1/21 10:25
LXF,ARA,2018/1/21,6:55:00,D,NV3286,2018/1/20,23:00:00,D,NV6557,South,W,T24,T,73E,PK430,2018/1/20 23:00,2018/1/21 6:55
HZT,XVI,2018/1/21,7:45:00,D,NV3615,2018/1/20,22:55:00,D,NV6615,South,W,T24,T,319,PK429,2018/1/20 22:55,2018/1/21 7:45
ZCQ,ZDV,2018/1/21,9:55:00,D,NV6202,2018/1/20,22:50:00,D,NV6379,South,W,T24,T,319,PK428,2018/1/20 22:50,2018/1/21 9:55
IEH,MMW,2018/1/21,6:55:00,D,NV6252,2018/1/20,22:30:00,D,NV6769,South,W,T24,T,320,PK425,2018/1/20 22:30,2018/1/21 6:55
DBO,UWT,2018/1/21,7:35:00,D,GN0234,2018/1/20,22:30:00,D,GN0639,South,W,T24,T,73H,PK424,2018/1/20 22:30,2018/1/21 7:35
DHR,OOH,2018/1/21,8:45:00,D,GN0496,2018/1/20,22:30:00,D,GN0291,South,W,T24,T,325,PK423,2018/1/20 22:30,2018/1/21 8:45
YNO,***,2018/1/20,23:15:00,D,*****,2018/1/20,22:25:00,D,GN0645,South,W,T24,T,73L,PK422,2018/1/20 22:25,2018/1/20 23:15
LXM,ISC,2018/1/21,7:30:00,D,GN0282,2018/1/20,22:05:00,D,GN0489,South,W,T24,T,73E,PK419,2018/1/20 22:05,2018/1/21 7:30
DHP,ZOU,2018/1/21,8:30:00,D,NV6636,2018/1/20,22:00:00,D,NV6405,South,W,T24,T,320,PK418,2018/1/20 22:00,2018/1/21 8:30
IOZ,DHP,2018/1/21,8:30:00,D,GN0678,2018/1/20,22:00:00,D,GN0541,South,W,T24,T,738,PK417,2018/1/20 22:00,2018/1/21 8:30
ZDV,NJH,2018/1/21,8:00:00,D,GN0522,2018/1/20,22:00:00,D,GN0257,South,W,T24,T,73E,PK416,2018/1/20 22:00,2018/1/21 8:00
MAI,DBO,2018/1/20,22:50:00,D,NV3652,2018/1/20,21:50:00,D,NV6319,South,W,T24,T,73E,PK415,2018/1/20 21:50,2018/1/20 22:50
EMD,OLH,2018/1/20,22:50:00,D,NV3993,2018/1/20,21:45:00,D,NV6737,South,W,T24,T,320,PK414,2018/1/20 21:45,2018/1/20 22:50
EZH,DHP,2018/1/20,22:45:00,D,GN933,2018/1/20,21:45:00,D,GN0455,South,W,T24,T,738,PK413,2018/1/20 21:45,2018/1/20 22:45
QFL,TAY,2018/1/21,9:05:00,D,NV6446,2018/1/20,21:40:00,D,NV6241,South,W,T24,T,323,PK412,2018/1/20 21:40,2018/1/21 9:05
EMD,IEH,2018/1/21,6:40:00,D,NV6748,2018/1/20,21:30:00,D,NV6733,South,W,T24,T,320,PK410,2018/1/20 21:30,2018/1/21 6:40
GPD,GPD,2018/1/21,8:55:00,D,NV6616,2018/1/20,21:20:00,D,NV6699,South,W,T24,T,321,PK408,2018/1/20 21:20,2018/1/21 8:55
UOB,UOB,2018/1/20,22:30:00,D,NV6652,2018/1/20,21:20:00,D,NV6653,South,W,T24,T,320,PK407,2018/1/20 21:20,2018/1/20 22:30
XOA,XOA,2018/1/20,22:20:00,D,GN0620,2018/1/20,21:20:00,D,GN0629,South,W,T24,T,738,PK406,2018/1/20 21:20,2018/1/20 22:20
DTY,YNO,2018/1/20,22:40:00,D,GN0368,2018/1/20,21:15:00,D,GN0409,South,W,T24,T,738,PK403,2018/1/20 21:15,2018/1/20 22:40
TIF,LIO,2018/1/20,22:20:00,D,NV6642,2018/1/20,21:05:00,D,NV6642,South,W,T24,T,320,PK401,2018/1/20 21:05,2018/1/20 22:20
VSD,OHC,2018/1/20,22:20:00,D,NV6811,2018/1/20,21:00:00,D,NV6811,South,W,T24,T,320,PK399,2018/1/20 21:00,2018/1/20 22:20
UBP,UBP,2018/1/20,22:10:00,D,NV6632,2018/1/20,21:00:00,D,NV6633,South,W,T24,T,320,PK398,2018/1/20 21:00,2018/1/20 22:10
***,DTY,2018/1/20,21:30:00,D,NV6478,2018/1/20,20:40:00,D,*****,South,W,T24,T,319,PK396,2018/1/20 20:40,2018/1/20 21:30
GPD,EMD,2018/1/20,22:05:00,D,NV6772,2018/1/20,20:30:00,D,NV6772,South,W,T24,T,325,PK395,2018/1/20 20:30,2018/1/20 22:05
TZY,DLH,2018/1/21,9:00:00,D,NV6532,2018/1/20,20:30:00,D,NV6578,South,W,T24,T,325,PK394,2018/1/20 20:30,2018/1/21 9:00
YJZ,YJZ,2018/1/21,6:40:00,D,NV3446,2018/1/20,20:25:00,D,NV3278,South,W,T24,T,325,PK392,2018/1/20 20:25,2018/1/21 6:40
OBP,OBP,2018/1/21,8:25:00,D,NV6548,2018/1/20,20:20:00,D,NV6549,South,W,T24,T,319,PK390,2018/1/20 20:20,2018/1/21 8:25
ISC,ISC,2018/1/21,8:20:00,D,NV6724,2018/1/20,20:15:00,D,NV6725,South,W,T24,T,320,PK389,2018/1/20 20:15,2018/1/21 8:20
UTO,***,2018/1/20,21:05:00,D,*****,2018/1/20,20:15:00,D,NV6551,South,W,T24,T,319,PK388,2018/1/20 20:15,2018/1/20 21:05
ITO,EBU,2018/1/21,8:15:00,D,NV6358,2018/1/20,20:10:00,D,NV6317,South,W,T24,T,319,PK387,2018/1/20 20:10,2018/1/21 8:15
YNO,DHR,2018/1/20,21:05:00,D,GN0260,2018/1/20,20:10:00,D,GN0261,South,W,T24,T,73H,PK385,2018/1/20 20:10,2018/1/20 21:05
TIF,LXF,2018/1/20,21:35:00,D,GN0560,2018/1/20,20:05:00,D,GN0205,South,W,T24,T,73A,PK383,2018/1/20 20:05,2018/1/20 21:35
DUV,DUV,2018/1/20,21:30:00,D,NV6528,2018/1/20,20:00:00,D,NV6527,South,W,T24,T,320,PK381,2018/1/20 20:00,2018/1/20 21:30
UZO,UZO,2018/1/20,21:00:00,D,NV6325,2018/1/20,20:00:00,D,NV6324,South,W,T24,T,73E,PK380,2018/1/20 20:00,2018/1/20 21:00
ZOK,DLH,2018/1/20,21:05:00,D,NV6544,2018/1/20,19:40:00,D,NV6763,South,W,T24,T,320,PK376,2018/1/20 19:40,2018/1/20 21:05
AIB,TIF,2018/1/20,21:25:00,D,NV6714,2018/1/20,19:15:00,D,NV6714,South,W,T24,T,320,PK369,2018/1/20 19:15,2018/1/20 21:25
XOA,DBO,2018/1/20,21:20:00,D,GN0428,2018/1/20,19:10:00,D,GN0641,South,W,T24,T,738,PK367,2018/1/20 19:10,2018/1/20 21:20
DHR,LXM,2018/1/20,21:10:00,D,GN0287,2018/1/20,18:55:00,D,GN0287,South,W,T24,T,738,PK364,2018/1/20 18:55,2018/1/20 21:10
XVI,EZH,2018/1/20,20:00:00,D,NV6486,2018/1/20,18:50:00,D,NV3622,South,W,T24,T,319,PK362,2018/1/20 18:50,2018/1/20 20:00
XFI,EZH,2018/1/20,20:05:00,D,GN0452,2018/1/20,18:50:00,D,GN0465,South,W,T24,T,738,PK360,2018/1/20 18:50,2018/1/20 20:05
EMD,EMD,2018/1/21,7:45:00,D,NV6738,2018/1/20,18:35:00,D,NV6739,South,W,T24,T,320,PK357,2018/1/20 18:35,2018/1/21 7:45
DUV,TAY,2018/1/20,21:25:00,D,NV6472,2018/1/20,18:30:00,D,NV6525,South,W,T24,T,325,PK356,2018/1/20 18:30,2018/1/20 21:25
YOO,YOO,2018/1/20,19:35:00,D,NV3410,2018/1/20,18:30:00,D,NV3421,South,W,T24,T,319,PK355,2018/1/20 18:30,2018/1/20 19:35
ZJI,XVI,2018/1/20,19:30:00,D,NV3631,2018/1/20,18:00:00,D,NV3786,South,W,T24,T,73E,PK348,2018/1/20 18:00,2018/1/20 19:30
AVI,ISC,2018/1/20,20:55:00,D,NV6720,2018/1/20,17:40:00,D,NV6301,South,W,T24,T,325,PK346,2018/1/20 17:40,2018/1/20 20:55
BPH,OOH,2018/1/20,21:00:00,D,GN0494,2018/1/20,17:35:00,D,GN0209,South,W,T24,T,73A,PK345,2018/1/20 17:35,2018/1/20 21:00
MIX,AVI,2018/1/21,15:50:00,D,GN0326,2018/1/20,17:20:00,D,GN0333,South,W,T24,T,738,PK342,2018/1/20 17:20,2018/1/21 15:50
***,MIX,2018/1/20,17:50:00,D,GN0332,2018/1/20,17:00:00,D,*****,South,W,T24,T,738,PK339,2018/1/20 17:00,2018/1/20 17:50
XOA,XOA,2018/1/20,17:55:00,D,GN0636,2018/1/20,16:50:00,D,GN0637,South,W,T24,T,738,PK335,2018/1/20 16:50,2018/1/20 17:55
YJZ,YJZ,2018/1/20,18:05:00,D,NV3277,2018/1/20,16:15:00,D,NV3260,South,W,T24,T,320,PK326,2018/1/20 16:15,2018/1/20 18:05
TIF,IJB,2018/1/20,17:40:00,D,NV6710,2018/1/20,16:05:00,D,NV6715,South,W,T24,T,320,PK325,2018/1/20 16:05,2018/1/20 17:40
ZOU,TAY,2018/1/20,17:05:00,D,NV6462,2018/1/20,15:55:00,D,NV6657,South,W,T24,T,323,PK323,2018/1/20 15:55,2018/1/20 17:05
CBW,ETO,2018/1/20,17:30:00,D,GN0404,2018/1/20,15:55:00,D,GN0549,South,W,T24,T,73E,PK320,2018/1/20 15:55,2018/1/20 17:30
TAY,LXM,2018/1/20,16:45:00,D,NV0746,2018/1/20,15:25:00,D,NV6453,South,W,T24,T,323,PK315,2018/1/20 15:25,2018/1/20 16:45
EMD,***,2018/1/20,16:10:00,D,*****,2018/1/20,15:20:00,D,GN0203,South,W,T24,T,738,PK312,2018/1/20 15:20,2018/1/20 16:10
DBO,IBL,2018/1/20,16:20:00,D,GN0642,2018/1/20,15:10:00,D,GN0423,South,W,T24,T,73E,PK310,2018/1/20 15:10,2018/1/20 16:20
***,MIX,2018/1/20,15:50:00,D,NV3465,2018/1/20,15:00:00,D,*****,South,W,T24,T,320,PK309,2018/1/20 15:00,2018/1/20 15:50
NJH,TZY,2018/1/20,16:35:00,D,GN0348,2018/1/20,14:55:00,D,GN0523,South,W,T24,T,73E,PK307,2018/1/20 14:55,2018/1/20 16:35
TIF,DHR,2018/1/20,16:05:00,D,GN0280,2018/1/20,14:55:00,D,GN0479,South,W,T24,T,325,PK306,2018/1/20 14:55,2018/1/20 16:05
ISC,IBL,2018/1/20,15:55:00,D,GN0362,2018/1/20,14:55:00,D,GN0283,South,W,T24,T,73E,PK305,2018/1/20 14:55,2018/1/20 15:55
LPX,UBP,2018/1/20,15:55:00,D,NV6685,2018/1/20,14:45:00,D,NV6685,South,W,T24,T,320,PK300,2018/1/20 14:45,2018/1/20 15:55
ZJI,DBO,2018/1/20,16:10:00,D,GN0638,2018/1/20,14:40:00,D,GN0477,South,W,T24,T,73H,PK299,2018/1/20 14:40,2018/1/20 16:10
EBU,HZT,2018/1/20,16:30:00,D,NV6614,2018/1/20,14:35:00,D,NV6359,South,W,T24,T,319,PK298,2018/1/20 14:35,2018/1/20 16:30
DHR,YJZ,2018/1/20,17:20:00,D,NV3273,2018/1/20,14:30:00,D,NV6709,South,W,T24,T,323,PK297,2018/1/20 14:30,2018/1/20 17:20
XVI,MAI,2018/1/20,15:25:00,D,NV6318,2018/1/20,14:20:00,D,NV3654,South,W,T24,T,73E,PK294,2018/1/20 14:20,2018/1/20 15:25
IGF,IGF,2018/1/20,15:20:00,D,NV6574,2018/1/20,14:10:00,D,NV6575,South,W,T24,T,320,PK293,2018/1/20 14:10,2018/1/20 15:20
ZLI,IEH,2018/1/20,17:25:00,D,NV6768,2018/1/20,13:55:00,D,NV6727,South,W,T24,T,320,PK291,2018/1/20 13:55,2018/1/20 17:25
IJB,TIF,2018/1/20,14:50:00,D,NV6718,2018/1/20,13:40:00,D,NV6719,South,W,T24,T,320,PK288,2018/1/20 13:40,2018/1/20 14:50
YJZ,YJZ,2018/1/20,14:15:00,D,NV3269,2018/1/20,13:15:00,D,NV3266,South,W,T24,T,325,PK284,2018/1/20 13:15,2018/1/20 14:15
UWT,YNO,2018/1/20,14:20:00,D,GN0250,2018/1/20,13:10:00,D,GN0235,South,W,T24,T,73H,PK283,2018/1/20 13:10,2018/1/20 14:20
ARA,LXF,2018/1/20,16:30:00,D,NV6556,2018/1/20,13:05:00,D,NV3287,South,W,T24,T,73E,PK282,2018/1/20 13:05,2018/1/20 16:30
LXM,AVI,2018/1/20,15:50:00,D,GN0326,2018/1/20,12:40:00,D,GN0491,South,W,T24,T,738,PK279,2018/1/20 12:40,2018/1/20 15:50
CQF,TIF,2018/1/20,13:35:00,D,GN0204,2018/1/20,12:25:00,D,GN0253,South,W,T24,T,73A,PK277,2018/1/20 12:25,2018/1/20 13:35
IEH,MZJ,2018/1/20,13:25:00,D,NV6510,2018/1/20,12:20:00,D,NV6749,South,W,T24,T,320,PK276,2018/1/20 12:20,2018/1/20 13:25
DLH,***,2018/1/20,12:10:00,D,*****,2018/1/20,11:20:00,D,NV6535,South,W,T24,T,320,PK273,2018/1/20 11:20,2018/1/20 12:10
DUV,DUV,2018/1/20,18:05:00,D,NV6308,2018/1/20,11:05:00,D,NV6307,South,W,T24,T,320,PK272,2018/1/20 11:05,2018/1/20 18:05
DHR,SJA,2018/1/20,12:00:00,D,GN0236,2018/1/20,10:40:00,D,GN0271,South,W,T24,T,73H,PK267,2018/1/20 10:40,2018/1/20 12:00
TIF,AIB,2018/1/20,12:25:00,D,NV6713,2018/1/20,10:35:00,D,NV6713,South,W,T24,T,320,PK266,2018/1/20 10:35,2018/1/20 12:25
DHP,MGR,2018/1/20,13:05:00,D,GN0446,2018/1/20,10:30:00,D,GN0457,South,W,T24,T,738,PK264,2018/1/20 10:30,2018/1/20 13:05
OOH,AIB,2018/1/20,11:20:00,D,GN0460,2018/1/20,10:20:00,D,GN0495,South,W,T24,T,73A,PK259,2018/1/20 10:20,2018/1/20 11:20
TAY,TZY,2018/1/20,13:05:00,D,NV6488,2018/1/20,10:10:00,D,NV6443,South,W,T24,T,325,PK256,2018/1/20 10:10,2018/1/20 13:05
DUV,DUV,2018/1/20,12:30:00,D,NV305,2018/1/20,10:05:00,D,NV6513,South,W,T24,T,320,PK254,2018/1/20 10:05,2018/1/20 12:30
DTY,EMD,2018/1/19,11:05:00,D,NV6752,2018/1/19,9:50:00,D,NV6479,South,W,T24,T,319,PK251,2018/1/19 9:50,2018/1/19 11:05
UTO,TIF,2018/1/19,11:05:00,D,GN0298,2018/1/19,9:50:00,D,GN0181,South,W,T24,T,738,PK249,2018/1/19 9:50,2018/1/19 11:05
LXM,DHR,2018/1/19,11:00:00,D,GN0493,2018/1/19,9:45:00,D,GN0493,South,W,T24,T,738,PK247,2018/1/19 9:45,2018/1/19 11:00
DLH,DLH,2018/1/19,11:05:00,D,NV6536,2018/1/19,9:40:00,D,NV6533,South,W,T24,T,320,PK246,2018/1/19 9:40,2018/1/19 11:05
LXF,KOH,2018/1/19,11:00:00,D,GN0284,2018/1/19,9:40:00,D,GN0571,South,W,T24,T,73A,PK245,2018/1/19 9:40,2018/1/19 11:00
ZOU,UBP,2018/1/19,11:15:00,D,NV6622,2018/1/19,9:35:00,D,NV6655,South,W,T24,T,320,PK244,2018/1/19 9:35,2018/1/19 11:15
UZO,UZO,2018/1/19,10:45:00,D,NV3512,2018/1/19,9:35:00,D,NV3513,South,W,T24,T,73H,PK242,2018/1/19 9:35,2018/1/19 10:45
DHP,UTO,2018/1/19,21:45:00,D,GN0170,2018/1/19,9:30:00,D,GN0439,South,W,T24,T,738,PK241,2018/1/19 9:30,2018/1/19 21:45
EMD,GPD,2018/1/19,10:40:00,D,NV6773,2018/1/19,9:25:00,D,NV6773,South,W,T24,T,325,PK240,2018/1/19 9:25,2018/1/19 10:40
UBP,ZOU,2018/1/19,9:55:00,D,NV3280,2018/1/19,8:55:00,D,NV6623,South,W,T24,T,320,PK236,2018/1/19 8:55,2018/1/19 9:55
YNO,EMD,2018/1/19,10:35:00,D,GN0202,2018/1/19,8:55:00,D,GN0369,South,W,T24,T,738,PK234,2018/1/19 8:55,2018/1/19 10:35
UOB,UOB,2018/1/19,10:20:00,D,NV3552,2018/1/19,8:45:00,D,NV6645,South,W,T24,T,320,PK233,2018/1/19 8:45,2018/1/19 10:20
IGF,UTO,2018/1/19,13:55:00,D,NV6540,2018/1/19,8:45:00,D,NV6579,South,W,T24,T,320,PK232,2018/1/19 8:45,2018/1/19 13:55
XOA,XOA,2018/1/19,9:45:00,D,NV6612,2018/1/19,8:40:00,D,NV6697,South,W,T24,T,73H,PK231,2018/1/19 8:40,2018/1/19 9:45
LIO,TIF,2018/1/19,9:50:00,D,NV6577,2018/1/19,8:40:00,D,NV6577,South,W,T24,T,320,PK230,2018/1/19 8:40,2018/1/19 9:50
***,DTY,2018/1/19,9:25:00,D,GN0408,2018/1/19,8:35:00,D,*****,South,W,T24,T,738,PK229,2018/1/19 8:35,2018/1/19 9:25
OHC,VSD,2018/1/19,9:15:00,D,NV6700,2018/1/19,8:15:00,D,NV6700,South,W,T24,T,320,PK226,2018/1/19 8:15,2018/1/19 9:15
UHP,XYO,2018/1/19,9:05:00,D,GN0572,2018/1/19,1:45:00,D,GN0659,South,W,T24,T,73A,PK204,2018/1/19 1:45,2018/1/19 9:05
EZH,XOA,2018/1/19,10:25:00,D,GN0628,2018/1/19,1:35:00,D,GN0453,South,W,T24,T,738,PK203,2018/1/19 1:35,2018/1/19 10:25
EZH,EBY,2018/1/19,8:20:00,D,NV6552,2018/1/19,1:30:00,D,NV6487,South,W,T24,T,319,PK202,2018/1/19 1:30,2018/1/19 8:20
MMG,XVI,2018/1/19,7:30:00,D,NV3615,2018/1/19,0:25:00,D,NV6201,South,W,T24,T,319,PK201,2018/1/19 0:25,2018/1/19 7:30
EMD,***,2018/1/19,1:05:00,D,*****,2018/1/19,0:15:00,D,NV6723,South,W,T24,T,325,PK199,2018/1/19 0:15,2018/1/19 1:05
DHP,***,2018/1/19,1:05:00,D,*****,2018/1/19,0:15:00,D,GN0679,South,W,T24,T,738,PK198,2018/1/19 0:15,2018/1/19 1:05
ETO,CBW,2018/1/20,9:25:00,D,GN0548,2018/1/19,23:55:00,D,GN0405,South,W,T24,T,73E,PK197,2018/1/19 23:55,2018/1/20 9:25
IBL,EMD,2018/1/20,14:10:00,D,NV6722,2018/1/19,23:40:00,D,GN0643,South,W,T24,T,323,PK196,2018/1/19 23:40,2018/1/20 14:10
UTO,DUV,2018/1/20,9:05:00,D,NV6514,2018/1/19,23:30:00,D,NV3195,South,W,T24,T,319,PK195,2018/1/19 23:30,2018/1/20 9:05
TAY,ZOU,2018/1/20,11:10:00,D,NV6656,2018/1/19,23:25:00,D,NV6471,South,W,T24,T,323,PK194,2018/1/19 23:25,2018/1/20 11:10
YJZ,DLH,2018/1/20,9:20:00,D,NV6504,2018/1/19,23:20:00,D,NV3447,South,W,T24,T,319,PK193,2018/1/19 23:20,2018/1/20 9:20
EZH,UWT,2018/1/20,7:35:00,D,GN0234,2018/1/19,23:20:00,D,GN0455,South,W,T24,T,73H,PK192,2018/1/19 23:20,2018/1/20 7:35
IBL,DBO,2018/1/20,9:00:00,D,GN0414,2018/1/19,23:15:00,D,GN0363,South,W,T24,T,73E,PK191,2018/1/19 23:15,2018/1/20 9:00
LXF,ARA,2018/1/20,6:55:00,D,NV3286,2018/1/19,23:00:00,D,NV6557,South,W,T24,T,73E,PK188,2018/1/19 23:00,2018/1/20 6:55
HZT,OBP,2018/1/20,8:25:00,D,NV6548,2018/1/19,22:55:00,D,NV6615,South,W,T24,T,319,PK187,2018/1/19 22:55,2018/1/20 8:25
LXM,TAY,2018/1/20,9:05:00,D,NV6446,2018/1/19,22:45:00,D,NV0747,South,W,T24,T,323,PK184,2018/1/19 22:45,2018/1/20 9:05
DHR,NJH,2018/1/20,8:00:00,D,GN0522,2018/1/19,22:30:00,D,GN0291,South,W,T24,T,73E,PK182,2018/1/19 22:30,2018/1/20 8:00
YNO,TIF,2018/1/20,8:55:00,D,GN0478,2018/1/19,22:25:00,D,GN0645,South,W,T24,T,325,PK181,2018/1/19 22:25,2018/1/20 8:55
CBW,CQF,2018/1/20,6:55:00,D,GN0252,2018/1/19,22:25:00,D,GN0247,South,W,T24,T,73A,PK180,2018/1/19 22:25,2018/1/20 6:55
ZOK,IEH,2018/1/20,6:40:00,D,NV6748,2018/1/19,22:15:00,D,NV6763,South,W,T24,T,320,PK179,2018/1/19 22:15,2018/1/20 6:40
UOB,UOB,2018/1/19,23:15:00,D,NV6652,2018/1/19,22:05:00,D,NV3553,South,W,T24,T,320,PK176,2018/1/19 22:05,2018/1/19 23:15
LXM,ISC,2018/1/20,7:30:00,D,GN0282,2018/1/19,22:05:00,D,GN0489,South,W,T24,T,73E,PK175,2018/1/19 22:05,2018/1/20 7:30
DHP,ZOU,2018/1/20,9:55:00,D,NV3280,2018/1/19,22:00:00,D,NV6405,South,W,T24,T,320,PK174,2018/1/19 22:00,2018/1/20 9:55
IOZ,LXM,2018/1/20,6:40:00,D,GN0480,2018/1/19,22:00:00,D,GN0541,South,W,T24,T,738,PK173,2018/1/19 22:00,2018/1/20 6:40
ZDV,***,2018/1/19,22:50:00,D,*****,2018/1/19,22:00:00,D,GN0257,South,W,T24,T,73H,PK172,2018/1/19 22:00,2018/1/19 22:50
MAI,EMD,2018/1/20,8:30:00,D,NV6734,2018/1/19,21:50:00,D,NV6319,South,W,T24,T,73E,PK171,2018/1/19 21:50,2018/1/20 8:30
YJZ,YJZ,2018/1/20,8:05:00,D,NV3263,2018/1/19,21:50:00,D,NV3270,South,W,T24,T,321,PK170,2018/1/19 21:50,2018/1/20 8:05
EMD,OLH,2018/1/19,22:50:00,D,NV3993,2018/1/19,21:45:00,D,NV6737,South,W,T24,T,320,PK169,2018/1/19 21:45,2018/1/19 22:50
QFL,CIZ,2018/1/20,9:25:00,D,NV6376,2018/1/19,21:40:00,D,NV6241,South,W,T24,T,325,PK168,2018/1/19 21:40,2018/1/20 9:25
XOA,XOA,2018/1/19,22:20:00,D,GN0620,2018/1/19,21:20:00,D,GN0629,South,W,T24,T,738,PK164,2018/1/19 21:20,2018/1/19 22:20
DTY,YNO,2018/1/19,22:40:00,D,GN0368,2018/1/19,21:15:00,D,GN0409,South,W,T24,T,738,PK162,2018/1/19 21:15,2018/1/19 22:40
TIF,LIO,2018/1/19,22:20:00,D,NV6642,2018/1/19,21:05:00,D,NV6642,South,W,T24,T,320,PK160,2018/1/19 21:05,2018/1/19 22:20
VSD,OHC,2018/1/19,22:20:00,D,NV6811,2018/1/19,21:00:00,D,NV6811,South,W,T24,T,320,PK158,2018/1/19 21:00,2018/1/19 22:20
